,Date,User,Tweet,num_of_likes,num_of_retweet,CleanTweet,Subjectivity,Polarity,Score
1001,2022-07-20 17:17:20+00:00,Aylaazari,"@Thegrey8 @Doziev 🤣 from India obviously 😂 

But I get his point, I think what he means is that we have never had good role models to emulate. Last last even good morals is copied not only innate. If perhaps we had good leaders it would trickle down to us. Perhaps … 🤣 or not",2,0,india obviously but i get his point i think what he means is that we have never had good role models emulate last last even good morals is copied not only innate if perhaps we had good leaders it would trickle down us perhaps or not,0.4652777777777778,0.2430555555555555,Positive
1002,2022-07-20 16:07:03+00:00,Aylaazari,@Temi__w Why would you out source sex 😣?,0,0,why would you out source sex,0.0,0.0,Neutral
1003,2022-07-20 16:05:14+00:00,Aylaazari,@NaijaFlyingDr And you ppl come for @ulxma for creating a hypothetical scenario when this happens so easily. Rubbish!,26,0,you ppl come creating hypothetical scenario when this happens so easily rubbish,0.8333333333333334,0.5416666666666667,Positive
1005,2022-07-20 16:03:46+00:00,Aylaazari,@gigithefinesser I am that Gurl 😂,3,0,i am that gurl,0.0,0.0,Neutral
1006,2022-07-20 16:03:17+00:00,Aylaazari,@johnysky22 🤣 when they find out wolfs are connected to trump 😂,0,0,when they find out wolfs are connected trump,0.0,0.0,Neutral
1007,2022-07-20 13:08:35+00:00,Aylaazari,"@VHM___ Lol it would still happen after marriage now 😂 no need the d same person. 
 That one sef you no fit run 😂",1,0,lol it would still happen after marriage now no need d same person that one sef you no fit run,0.4083333333333334,0.20000000000000004,Positive
1008,2022-07-20 13:07:43+00:00,Aylaazari,@TheIfedolapo 😂 let me go and check 😂,0,0,let me go check,0.0,0.0,Neutral
1009,2022-07-20 07:50:32+00:00,Aylaazari,@ulxma We have a very long way to go.,8,0,we have very long way go,0.52,-0.065,Negative
1010,2022-07-20 07:45:08+00:00,Aylaazari,@Ebuxka @TheIgboWolf Is over for me niyen 😭,2,0,is over me niyen,0.0,0.0,Neutral
1011,2022-07-20 07:35:51+00:00,Aylaazari,@TheIgboWolf 😭 just woke up,3,0,just woke up,0.0,0.0,Neutral
1012,2022-07-19 22:27:52+00:00,Aylaazari,"@ulxma Uloma, I pray 4 good hugs for you dealing with these kinds of ppl. 🫂",4,0,uloma i pray 4 good hugs you dealing with these kinds ppl,0.6000000000000001,0.7,Positive
1013,2022-07-19 22:23:57+00:00,Aylaazari,@knorye_nnaji @sire_frank You didn’t see the part about some women actually being hurt and killed but a hypothetical scenario she created it all you could pick out? 🤦🏽‍♀️,0,0,you didn t see part about some women actually being hurt killed but hypothetical scenario she created it all you could pick out,0.05,-0.1,Negative
1016,2022-07-19 20:55:38+00:00,Aylaazari,"@mykael_yuddy Sex you no get, money you know get 😂",0,0,sex you no get money you know get,0.0,0.0,Neutral
1017,2022-07-19 20:53:03+00:00,Aylaazari,@mykael_yuddy Rubbbish nonsense stupid question that cannot happen 😂.,0,0,rubbbish nonsense stupid question that cannot happen,1.0,-0.7999999999999999,Negative
1018,2022-07-19 20:43:19+00:00,Aylaazari,"@johnysky22 
This was seamless, thank you for your effort.

I am obedient. #OBIdientlyYUSful https://t.co/dAR7KYolTB",26,3,this was seamless thank you your effort i am obedient,0.5,0.25,Positive
1019,2022-07-19 20:26:30+00:00,Aylaazari,@Kas_gallery1 @MobilePunch These furniture won’t last,1,0,these furniture won t last,0.06666666666666667,0.0,Neutral
1020,2022-07-19 20:16:39+00:00,Aylaazari,"@DaveMuna @oluwatosinfatun @CentChyk @Oluomoofderby Giwan too zuwike, 😂 she is saying something here then saying another thing there. 😂",0,0,giwan too zuwike she is saying something here then saying another thing there,0.0,0.0,Neutral
1021,2022-07-19 20:14:57+00:00,Aylaazari,"@Big_Dav_T The only good thing, nice UI at least his skilled got developed. Every other thing is a waste. Like fr….",1,0,only good thing nice ui at least his skilled got developed every other thing is waste like fr,0.521875,0.159375,Positive
1022,2022-07-19 19:56:18+00:00,Aylaazari,"@Thegrey8 Pls 🙏🏾 , cos I can’t even suffer ontoo suffer.",0,0,pls cos i can t even suffer ontoo suffer,0.0,0.0,Neutral
1023,2022-07-19 17:04:04+00:00,Aylaazari,@K_Leinese What of adding?,0,0,what adding,0.0,0.0,Neutral
1024,2022-07-19 17:03:36+00:00,Aylaazari,They should all gettat https://t.co/oQXVErRMTV,0,0,they should all gettat,0.0,0.0,Neutral
1025,2022-07-19 15:25:13+00:00,Aylaazari,@ImohUmoren Imo creatives shouldn’t marry each other. The kids would probably also be….,0,1,imo creatives shouldn t marry each other kids would probably also be,0.375,-0.125,Negative
1026,2022-07-19 13:03:15+00:00,Aylaazari,Building an app that made people aware of missing people in real time and the location they were last seen would have been more useful. Prayer doesn’t work but you ppl won’t hear. https://t.co/zORQ2WqIbq,5,1,building app that made people aware missing people real time location they were last seen would have been more useful prayer doesn t work but you ppl won t hear,0.19444444444444445,0.17500000000000002,Positive
1027,2022-07-19 09:00:38+00:00,Aylaazari,"@your_Igbobaby @TheIgboWolf Like why can’t you just type normally, anyways and anywaiz same number of letters 😂",10,0,like why can t you just type normally anyways anywaiz same number letters,0.38749999999999996,0.075,Positive
1028,2022-07-19 08:59:49+00:00,Aylaazari,@BamBabyG @TheIgboWolf As in what kind of grammar 😂,1,0,as what kind grammar,0.9,0.6,Positive
1029,2022-07-19 08:48:51+00:00,Aylaazari,@EzeAyoka @CeeCeeAkannaya @Uzomariano You know this,0,0,you know this,0.0,0.0,Neutral
1030,2022-07-18 22:10:19+00:00,Aylaazari,@Kylareetarh Once and then the second time I didn’t finish psalms. Read the New Testament like 5 times,1,0,once then second time i didn t finish psalms read new testament like 5 times,0.22727272727272727,0.06818181818181818,Positive
1031,2022-07-18 21:34:31+00:00,Aylaazari,@oluwatosinfatun @CentChyk @Oluomoofderby What’s your point? Tho.,0,0,what s your point tho,0.0,0.0,Neutral
1032,2022-07-18 21:28:25+00:00,Aylaazari,@Jadoy1428 @Omojuwa @Olalekanakogun @strictlytj Lagos is definitely da bomb,0,0,lagos is definitely da bomb,0.5,0.0,Neutral
1033,2022-07-18 15:31:36+00:00,Aylaazari,@mykael_yuddy @Thegrey8 Omo 😂,0,0,omo,0.0,0.0,Neutral
1034,2022-07-18 14:15:16+00:00,Aylaazari,@kodak_whyt @Thegrey8 Human beings lol.,1,0,human beings lol,0.39999999999999997,0.4,Positive
1035,2022-07-18 14:12:08+00:00,Aylaazari,@kodak_whyt @Thegrey8 But that’s not what the videos show,0,0,but that s not what videos show,0.0,0.0,Neutral
1036,2022-07-18 12:00:46+00:00,Aylaazari,@Thegrey8 Lol this was my life everyday in China. You could be on the train and walk a few steps and realize one strand of your braids is holding you back from moving because a bunch of old women have seized it and are fascinated by how intricately it was woven 😂 and was in your head.,2,0,lol this was my life everyday china you could be train walk few steps realize one strand your braids is holding you back moving because bunch old women have seized it are fascinated by how intricately it was woven was your head,0.31999999999999995,0.10000000000000002,Positive
1037,2022-07-18 10:45:35+00:00,Aylaazari,@Wetrency Hmm i got it from one back yard  process like this 😂,0,0,hmm i got it one back yard process like this,0.0,0.0,Neutral
1039,2022-07-18 08:25:28+00:00,Aylaazari,I love my language 😆 https://t.co/0EekqDqvIw,1,0,i love my language,0.6,0.5,Positive
1041,2022-07-17 23:16:41+00:00,Aylaazari,@asconambassador Very sad,0,0,very sad,1.0,-0.65,Negative
1042,2022-07-17 18:53:01+00:00,Aylaazari,@Chimdimma92 @Mr_AbPaul @1Kleide You have nothing to bring not even face. Ta! gbafuo. Ozuo!  🤣,0,0,you have nothing bring not even face ta gbafuo ozuo,0.0,0.0,Neutral
1043,2022-07-17 18:50:56+00:00,Aylaazari,@storiesbysoraya @Mr_AbPaul @1Kleide Iberibe,0,0,iberibe,0.0,0.0,Neutral
1044,2022-07-17 18:50:18+00:00,Aylaazari,"@DaretotryDan @Mr_AbPaul @1Kleide Your penis is not even worth a hot dog 🌭 bread, pls rest",0,0,your penis is not even worth hot dog bread pls rest,0.47500000000000003,0.275,Positive
1045,2022-07-17 18:49:35+00:00,Aylaazari,"@iamSkinny00 @Mr_AbPaul @1Kleide That’s good. If you want that strive for that.  But what ever it is. It’s still something. As someone with out a voluptuous body. I know men who feel I don’t bring anything to the table even after being capable. So I believe even if it’s your aesthetic gifts, it’s something!",1,0,that s good if you want that strive that but what ever it is it s still something as someone with out voluptuous body i know men who feel i don t bring anything table even after being capable so i believe even if it s your aesthetic gifts it s something,0.5,0.475,Positive
1046,2022-07-17 18:47:46+00:00,Aylaazari,"@tunmi_Adeniran @Mr_AbPaul @1Kleide Shutup and  stop trying to sound intelligent. Tomorrow you would open your mouth and sing, all power belongs to bum bum. Yet you are coming here to shine eye. Ta! Gbafuo. 😂",0,0,shutup stop trying sound intelligent tomorrow you would open your mouth sing all power belongs bum bum yet you are coming here shine eye ta gbafuo,0.6,0.4000000000000001,Positive
1047,2022-07-17 17:21:43+00:00,Aylaazari,@Lydeaah Uhm?,0,0,uhm,0.0,0.0,Neutral
1048,2022-07-17 15:52:55+00:00,Aylaazari,"@Hinged4000 @Mr_AbPaul @1Kleide Don’t mind them, you chose what you wanted. Then you come home crying. Stupid ediots.",0,0,don t mind them you chose what you wanted then you come home crying stupid ediots,0.8,-0.5,Negative
1049,2022-07-17 12:51:13+00:00,Aylaazari,@thelifeofxNFT @Mr_AbPaul @1Kleide Ode after you would sing all power belongs to bum bum 😂,0,0,ode after you would sing all power belongs bum bum,0.0,0.0,Neutral
1050,2022-07-17 12:50:33+00:00,Aylaazari,@Gbxnga Bless you.,1,0,bless you,0.0,0.0,Neutral
1051,2022-07-17 10:45:59+00:00,Aylaazari,Nostalgia 😭 https://t.co/HkPs5padk7,0,0,nostalgia,0.0,0.0,Neutral
1052,2022-07-17 10:36:55+00:00,Aylaazari,@1Kleide Get lost 😂 are you mad?,0,0,get lost are you mad,1.0,-0.625,Negative
1053,2022-07-17 10:35:34+00:00,Aylaazari,@koronekomaru @Mr_AbPaul @1Kleide You Are not significant ugly monster rest.,1,0,you are not significant ugly monster rest,0.9375,-0.44375,Negative
1054,2022-07-17 10:33:22+00:00,Aylaazari,"@whengodwrites @kinglanrey @Mr_AbPaul @1Kleide You are daft loool. You want a woman who has a great body and great account. 

All men want that. 

What happens to the woman without that body? 😂 y’all with your sausage penises want everything. But life is not like that. You have to choose what to settle with.",0,0,you are daft loool you want woman who has great body great account all men want that what happens woman without that body y all with your sausage penises want everything but life is not like that you have choose what settle with,0.75,0.8,Positive
1055,2022-07-17 10:31:07+00:00,Aylaazari,"@koronekomaru @Mr_AbPaul @1Kleide And you are thrash, not worth my time. Rest air brain",0,0,you are thrash not worth my time rest air brain,0.1,-0.15,Negative
1056,2022-07-17 10:30:47+00:00,Aylaazari,@AkakamETH @Mr_AbPaul @1Kleide I would buy and your family with 10% of my money Ode 😂.,0,0,i would buy your family with 10 my money ode,0.0,0.0,Neutral
1057,2022-07-17 10:30:04+00:00,Aylaazari,@btiici You are just a greedy monster,0,0,you are just greedy monster,0.0,0.0,Neutral
1058,2022-07-17 10:28:06+00:00,Aylaazari,Zorooooo 😻 https://t.co/qk07xiHvzr,1,0,zorooooo,0.0,0.0,Neutral
1059,2022-07-17 10:26:00+00:00,Aylaazari,"@Mr_AbPaul @1Kleide Some of you don’t even know what pecuniary means. 

A woman can have a good body, some have self earned money. 

Some men have good looks and empty skulls, some have pot belly’s and hefty back account. 

Whatever you have, it’s something to bring. Choose what you want and shut up",0,0,some you don t even know what pecuniary means woman can have good body some have self earned money some men have good looks empty skulls some have pot belly s hefty back account whatever you have it s something bring choose what you want shut up,0.42500000000000004,0.32499999999999996,Positive
1060,2022-07-17 10:24:10+00:00,Aylaazari,@AkakamETH @Mr_AbPaul @1Kleide Your 20k bank account with BET naija hope. Ta gbafuo!,0,0,your 20k bank account with bet naija hope ta gbafuo,0.0,0.0,Neutral
1061,2022-07-17 10:23:27+00:00,Aylaazari,@SoloJah1 @Mr_AbPaul @1Kleide You don’t have a job and your mouth smells rest,0,0,you don t have job your mouth smells rest,0.0,0.0,Neutral
1062,2022-07-17 10:23:01+00:00,Aylaazari,@kinglanrey @Mr_AbPaul @1Kleide Shut up you don’t even have a job 🤣,0,0,shut up you don t even have job,0.0,0.0,Neutral
1063,2022-07-17 10:22:16+00:00,Aylaazari,"@terex444 Y’all are so jobless, you want a beautiful woman with gigantic ass and big boobs who has a heavy bank account. 

Lmao, with your shrivelled  dicks and smelly mouths. All you bring to the table is some money. 

No one can have everything. Choose, a good body or a working lady",0,0,y all are so jobless you want beautiful woman with gigantic ass big boobs who has heavy bank account lmao with your shrivelled dicks smelly mouths all you bring table is some money no one can have everything choose good body or working lady,0.64,0.39,Positive
1064,2022-07-17 10:18:51+00:00,Aylaazari,@Chimdimma92 @Mr_AbPaul @1Kleide Girl does you mother know who your father is?,0,0,girl does you mother know who your father is,0.0,0.0,Neutral
1065,2022-07-17 10:18:11+00:00,Aylaazari,@Odunsy_b @Mr_AbPaul @1Kleide Of cos there are those with both. Look for what you want and be going.,0,0,cos there are those with both look what you want be going,0.0,0.0,Neutral
1066,2022-07-17 10:17:43+00:00,Aylaazari,@Mr_AbPaul You must be drowning with maggots in your brain 😂,0,0,you must be drowning with maggots your brain,0.0,0.0,Neutral
1067,2022-07-17 10:17:17+00:00,Aylaazari,"@Mr_AbPaul @1Kleide @bolaji_bello1 Lol,to each his own. You are complaining Becos you don’t want that. Some men don’t mind. Look for what you want and be going.",0,0,lol each his own you are complaining becos you don t want that some men don t mind look what you want be going,1.0,0.6,Positive
